yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
slyD	P0A9K9	METAL 167 167 Nickel. {ECO:0000255}.; METAL 168 168 Nickel. {ECO:0000255}.; METAL 184 184 Nickel. {ECO:0000255}.; METAL 185 185 Nickel. {ECO:0000255}.; METAL 193 193 Nickel. {ECO:0000255}.; METAL 195 195 Nickel. {ECO:0000255}.	3D-structure;Chaperone;Cobalt;Complete proteome;Copper;Cytoplasm;Direct protein sequencing;Isomerase;Metal-binding;Nickel;Reference proteome;Rotamase;Zinc	modulation by symbiont of host adenylate cyclase-mediated signal transduction [GO:0043963]; protein maturation [GO:0051604]; protein maturation by protein folding [GO:0022417]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to heat [GO:0009408]	cytosol [GO:0005829]	cytosol [GO:0005829]; cobalt ion binding [GO:0050897]; copper ion binding [GO:0005507]; nickel cation binding [GO:0016151]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; modulation by symbiont of host adenylate cyclase-mediated signal transduction [GO:0043963]; protein maturation [GO:0051604]; protein maturation by protein folding [GO:0022417]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to heat [GO:0009408]	cobalt ion binding [GO:0050897]; copper ion binding [GO:0005507]; nickel cation binding [GO:0016151]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]	GO:0000413; GO:0003755; GO:0005507; GO:0005829; GO:0008270; GO:0009408; GO:0016151; GO:0022417; GO:0042026; GO:0043963; GO:0050821; GO:0050897; GO:0051082; GO:0051604		P68066; P16431; P0AAN3		SUBCELLULAR LOCATION: Cytoplasm.			4260682;	ecj:JW3311;eco:b3349;	EG11663;	
pabA	P00903		Complete proteome;Folate biosynthesis;Glutamine amidotransferase;Reference proteome;Transferase	folic acid biosynthetic process [GO:0046656]; glutamine metabolic process [GO:0006541]; tetrahydrofolate biosynthetic process [GO:0046654]		4-amino-4-deoxychorismate synthase activity [GO:0046820]; folic acid biosynthetic process [GO:0046656]; glutamine metabolic process [GO:0006541]; tetrahydrofolate biosynthetic process [GO:0046654]	4-amino-4-deoxychorismate synthase activity [GO:0046820]	GO:0006541; GO:0046654; GO:0046656; GO:0046820							4262475;	ecj:JW3323;eco:b3360;	EG10682;	
fic	P20605		3D-structure;ATP-binding;Complete proteome;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	regulation of cell division [GO:0051302]		ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]; regulation of cell division [GO:0051302]	ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]	GO:0005524; GO:0016779; GO:0051302		P06710					4261083;	ecj:JW3324;eco:b3361;	EG10307;	
yhfG	P0ADX5		3D-structure;Complete proteome;Reference proteome												4261084;	ecj:JW3325;eco:b3362;	EG12374;	
pck	P22259	METAL 149 149 Calcium; via carbonyl oxygen. {ECO:0000250}.; METAL 150 150 Calcium; via carbonyl oxygen. {ECO:0000250}.; METAL 152 152 Calcium; via carbonyl oxygen. {ECO:0000250}.; METAL 213 213 Manganese. {ECO:0000255|HAMAP-Rule:MF_00453, ECO:0000269|Ref.21}.; METAL 232 232 Manganese; via tele nitrogen. {ECO:0000255|HAMAP-Rule:MF_00453, ECO:0000269|Ref.21}.; METAL 269 269 Manganese. {ECO:0000255|HAMAP-Rule:MF_00453, ECO:0000269|Ref.21}.; METAL 283 283 Calcium; via carbonyl oxygen. {ECO:0000250}.	3D-structure;ATP-binding;Acetylation;Allosteric enzyme;Calcium;Complete proteome;Cytoplasm;Decarboxylase;Direct protein sequencing;Gluconeogenesis;Lyase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome	gluconeogenesis [GO:0006094]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612]; gluconeogenesis [GO:0006094]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612]	GO:0000287; GO:0004612; GO:0005509; GO:0005524; GO:0005829; GO:0006094				SUBCELLULAR LOCATION: Cytoplasm.			4262181;	ecj:JW3366;eco:b3403;	EG10688;	
glpD	P13035		3D-structure;Complete proteome;Cytoplasm;FAD;Flavoprotein;Glycerol metabolism;Oxidoreductase;Reference proteome	glycerol-3-phosphate catabolic process [GO:0046168]; glycerol catabolic process [GO:0019563]	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; integral component of plasma membrane [GO:0005887]	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; integral component of plasma membrane [GO:0005887]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity [GO:0052590]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate catabolic process [GO:0046168]	electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]; sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity [GO:0052590]	GO:0005887; GO:0009055; GO:0009331; GO:0019563; GO:0046168; GO:0052590; GO:0052591; GO:0071949		P0AEE8		SUBCELLULAR LOCATION: Cytoplasm.			4261265;	ecj:JW3389;eco:b3426;	EG10394;	
gntU	P0AC96		Cell inner membrane;Cell membrane;Complete proteome;Gluconate utilization;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	D-gluconate metabolic process [GO:0019521]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; carbohydrate:cation symporter activity [GO:0005402]; gluconate transmembrane transporter activity [GO:0015128]; D-gluconate metabolic process [GO:0019521]	carbohydrate:cation symporter activity [GO:0005402]; gluconate transmembrane transporter activity [GO:0015128]	GO:0005402; GO:0005886; GO:0005887; GO:0015128; GO:0019521				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 1 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 23 26 Periplasmic. {ECO:0000255}.; TOPO_DOM 48 58 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 80 109 Periplasmic. {ECO:0000255}.; TOPO_DOM 131 142 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 164 176 Periplasmic. {ECO:0000255}.; TOPO_DOM 198 225 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 247 261 Periplasmic. {ECO:0000255}.; TOPO_DOM 283 294 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 316 330 Periplasmic. {ECO:0000255}.; TOPO_DOM 352 352 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 374 387 Periplasmic. {ECO:0000255}.; TOPO_DOM 409 424 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 446 446 Periplasmic. {ECO:0000255}.	TRANSMEM 2 22 Helical. {ECO:0000255}.; TRANSMEM 27 47 Helical. {ECO:0000255}.; TRANSMEM 59 79 Helical. {ECO:0000255}.; TRANSMEM 110 130 Helical. {ECO:0000255}.; TRANSMEM 143 163 Helical. {ECO:0000255}.; TRANSMEM 177 197 Helical. {ECO:0000255}.; TRANSMEM 226 246 Helical. {ECO:0000255}.; TRANSMEM 262 282 Helical. {ECO:0000255}.; TRANSMEM 295 315 Helical. {ECO:0000255}.; TRANSMEM 331 351 Helical. {ECO:0000255}.; TRANSMEM 353 373 Helical. {ECO:0000255}.; TRANSMEM 388 408 Helical. {ECO:0000255}.; TRANSMEM 425 445 Helical. {ECO:0000255}.	4261494;	ecj:JW5686;eco:b4476;	EG12631;	
yhhX	P46853		3D-structure;Complete proteome;Oxidoreductase;Reference proteome		cytosol [GO:0005829]	cytosol [GO:0005829]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0005829; GO:0016491							4262488;	ecj:JW3403;eco:b3440;	EG12944;	
ggt	P18956		3D-structure;Acyltransferase;Complete proteome;Direct protein sequencing;Glutathione biosynthesis;Hydrolase;Periplasm;Protease;Reference proteome;Signal;Transferase;Zymogen	amino acid salvage [GO:0043102]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; self proteolysis [GO:0097264]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; gamma-glutamyl-peptidase activity [GO:0034722]; glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; amino acid salvage [GO:0043102]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; self proteolysis [GO:0097264]	gamma-glutamyl-peptidase activity [GO:0034722]; glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]	GO:0006750; GO:0006751; GO:0030288; GO:0034722; GO:0036374; GO:0042597; GO:0043102; GO:0097264; GO:0102953; GO:0103068				SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1360205, ECO:0000269|PubMed:2877974}.			4261666;	ecj:JW3412;eco:b3447;	EG10374;	
yhhA	P0ADX7		Complete proteome;Reference proteome;Signal							P0ABH0					4261663;	ecj:JW3413;eco:b3448;	EG11184;	
ugpQ	P10908		Complete proteome;Cytoplasm;Glycerol metabolism;Hydrolase;Magnesium;Metal-binding;Reference proteome	glycerol metabolic process [GO:0006071]; lipid metabolic process [GO:0006629]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; glycerophosphocholine phosphodiesterase activity [GO:0047389]; glycerophosphodiester phosphodiesterase activity [GO:0008889]; glycerophosphoinositol glycerophosphodiesterase activity [GO:0047395]; magnesium ion binding [GO:0000287]; glycerol metabolic process [GO:0006071]; lipid metabolic process [GO:0006629]	glycerophosphocholine phosphodiesterase activity [GO:0047389]; glycerophosphodiester phosphodiesterase activity [GO:0008889]; glycerophosphoinositol glycerophosphodiesterase activity [GO:0047395]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005737; GO:0006071; GO:0006629; GO:0008889; GO:0047389; GO:0047395				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18083802}.			4261665;	ecj:JW3414;eco:b3449;	EG11050;	
ugpC	P10907		ATP-binding;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Nucleotide-binding;Reference proteome;Sugar transport;Translocase;Transport	carbohydrate transport [GO:0008643]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; glycerol-3-phosphate-transporting ATPase activity [GO:0015430]; glycerophosphodiester transmembrane transporter activity [GO:0001406]; carbohydrate transport [GO:0008643]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; glycerol-3-phosphate-transporting ATPase activity [GO:0015430]; glycerophosphodiester transmembrane transporter activity [GO:0001406]	GO:0001406; GO:0001407; GO:0005524; GO:0008643; GO:0015169; GO:0015430; GO:0015794; GO:0016887; GO:0055052				SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.			4262493;	ecj:JW3415;eco:b3450;	EG11048;	
ugpA	P10905		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; plasma membrane [GO:0005886]; glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; glycerophosphodiester transmembrane transporter activity [GO:0001406]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; glycerophosphodiester transmembrane transporter activity [GO:0001406]	GO:0001406; GO:0001407; GO:0005886; GO:0015169; GO:0015794; GO:0055052				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 11 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 33 80 Periplasmic. {ECO:0000255}.; TOPO_DOM 102 109 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 131 156 Periplasmic. {ECO:0000255}.; TOPO_DOM 178 207 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 229 262 Periplasmic. {ECO:0000255}.; TOPO_DOM 284 295 Cytoplasmic. {ECO:0000255}.	TRANSMEM 12 32 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 81 101 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 110 130 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 157 177 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 208 228 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 263 283 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.	4263421;	ecj:JW3417;eco:b3452;	EG11046;	
ugpB	P0AG80		3D-structure;Complete proteome;Periplasm;Reference proteome;Signal;Transport	glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]		GO:0001407; GO:0015794; GO:0030288				SUBCELLULAR LOCATION: Periplasm.			4261118;	ecj:JW3418;eco:b3453;	EG11047;	
dcrB	P0AEE1		Complete proteome;Periplasm;Reference proteome;Signal		periplasmic space [GO:0042597]	periplasmic space [GO:0042597]		GO:0042597				SUBCELLULAR LOCATION: Periplasm.			4262924;	ecj:JW5682;eco:b3472;	EG12218;	
yhhT	P0AGM0		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 10 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 32 32 Periplasmic. {ECO:0000255}.; TOPO_DOM 54 62 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 84 142 Periplasmic. {ECO:0000255}.; TOPO_DOM 164 208 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 230 234 Periplasmic. {ECO:0000255}.; TOPO_DOM 256 257 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 279 292 Periplasmic. {ECO:0000255}.; TOPO_DOM 314 349 Cytoplasmic. {ECO:0000255}.	TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 143 163 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.; TRANSMEM 235 255 Helical. {ECO:0000255}.; TRANSMEM 258 278 Helical. {ECO:0000255}.; TRANSMEM 293 313 Helical. {ECO:0000255}.	4262490;	ecj:JW5680;eco:b3474;	EG12220;	
yhhJ	P0AGH1		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]		GO:0005886; GO:0043190; GO:0055085				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 22 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 44 172 Periplasmic. {ECO:0000255}.; TOPO_DOM 194 229 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 251 255 Periplasmic. {ECO:0000255}.; TOPO_DOM 277 283 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 305 342 Periplasmic. {ECO:0000255}.; TOPO_DOM 364 374 Cytoplasmic. {ECO:0000255}.	TRANSMEM 23 43 Helical. {ECO:0000255}.; TRANSMEM 173 193 Helical. {ECO:0000255}.; TRANSMEM 230 250 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 284 304 Helical. {ECO:0000255}.; TRANSMEM 343 363 Helical. {ECO:0000255}.	4262513;	ecj:JW5677;eco:b3485;	EG11767;	
rbbA	P37624		ATP-binding;Cell inner membrane;Cell membrane;Complete proteome;Hydrolase;Membrane;Nucleotide-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix	positive regulation of translation [GO:0045727]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell pole [GO:0060187]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell pole [GO:0060187]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ribosomal small subunit binding [GO:0043024]; positive regulation of translation [GO:0045727]; transmembrane transport [GO:0055085]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; ribosomal small subunit binding [GO:0043024]	GO:0005524; GO:0005886; GO:0016020; GO:0016887; GO:0022627; GO:0042623; GO:0043024; GO:0043190; GO:0045727; GO:0055085; GO:0060187		P76015		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21556145}; Multi-pass membrane protein {ECO:0000255}.		TRANSMEM 563 583 Helical. {ECO:0000255}.; TRANSMEM 716 736 Helical. {ECO:0000255}.; TRANSMEM 769 789 Helical. {ECO:0000255}.; TRANSMEM 796 816 Helical. {ECO:0000255}.; TRANSMEM 824 844 Helical. {ECO:0000255}.; TRANSMEM 886 906 Helical. {ECO:0000255}.	4259649;	ecj:JW5676;eco:b3486;	EG12223;	
yhiI	P37626		Complete proteome;Reference proteome;Signal		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]		GO:0005886							4262514;	ecj:JW3454;eco:b3487;	EG12224;	
uspB	P0A8S5		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix	response to ethanol [GO:0045471]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to ethanol [GO:0045471]		GO:0005886; GO:0016021; GO:0045471				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 22 89 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 111 111 Periplasmic. {ECO:0000255}.	TRANSMEM 1 21 Helical. {ECO:0000255}.; TRANSMEM 90 110 Helical. {ECO:0000255}.	4262095;	ecj:JW3461;eco:b3494;	EG12231;	
prlC	P27298	METAL 469 469 Zinc; catalytic. {ECO:0000255|PROSITE-ProRule:PRU10095}.; METAL 473 473 Zinc; catalytic. {ECO:0000255|PROSITE-ProRule:PRU10095}.; METAL 476 476 Zinc; catalytic. {ECO:0000255|PROSITE-ProRule:PRU10095}.	Complete proteome;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	DNA replication [GO:0006260]; signal peptide processing [GO:0006465]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; DNA replication [GO:0006260]; signal peptide processing [GO:0006465]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]	GO:0004222; GO:0005737; GO:0005829; GO:0006260; GO:0006465; GO:0008233; GO:0046872							4262506;	ecj:JW3465;eco:b3498;	EG11441;	
